name,group,vote,Genre,Âge,District,affairVoteId
Matteo ABÄCHERLI,Die Mitte Oberwallis,Non/Nein,H,34,Visp,20221108101744
Claudia ALPIGER,ZUK-VS,Non/Nein,F,33,Brig,20221108101744
Romano AMACKER,SVPO,Non/Nein,H,25,Westlich Raron,20221108101744
Maria ARNOLD-ESCHER,Die Mitte Oberwallis,Non/Nein,F,59,Brig,20221108101744
Peter BÄHLER,SVPO,Non/Nein,H,69,Goms,20221108101744
Gabrielle BARRAS,UDC,Non/Nein,F,59,Sion,20221108101744
Léonard BENDER,AC,Non/Nein,H,54,Martigny,20221108101744
Philippe BENDER,VLR,Oui/Ja,H,72,Martigny,20221108101744
Jacques BLANC,AC,Oui/Ja,H,68,Hérens,20221108101744
Vincent BOAND,UDC,Oui/Ja,H,37,Sion,20221108101744
Alex BONVIN,UDC,Non/Nein,H,63,Sierre,20221108101744
Nicolas BONVIN,Le Centre,Non/Nein,H,33,Sierre,20221108101744
Sophie BORNET,Le Centre,Non/Nein,F,54,Conthey,20221108101744
Hermann BRUNNER,CSPO,Non/Nein,H,68,Westlich Raron,20221108101744
Michael BURGENER,Die Mitte Oberwallis,Non/Nein,H,41,Visp,20221108101744
Paul BURGENER,Die Mitte Oberwallis,Non/Nein,H,69,Visp,20221108101744
Peter BURRI,ZUK-VS,Non/Nein,H,57,Visp,20221108101744
Mathieu CALOZ,VLR,Oui/Ja,H,29,Sierre,20221108101744
Chantal CARLEN,Die Mitte Oberwallis,Non/Nein,F,30,Goms,20221108101744
Florine CARRON,LES VERTS,Non/Nein,F,44,Martigny,20221108101744
Florence CARRON DARBELLAY,Le Centre,Non/Nein,F,49,Martigny,20221108101744
Patricia CASAYS,Le Centre,Non/Nein,F,75,Monthey,20221108101744
Jean-Dominique CIPOLLA,UDC,Non/Nein,H,75,Martigny,20221108101744
Stéphane CLAVIEN,VLR,Oui/Ja,H,65,Sierre,20221108101744
Damien CLERC,Le Centre,Non/Nein,H,41,Conthey,20221108101744
Gabrielle CORNUT-ZUFFEREY,LES VERTS,Non/Nein,F,61,Sierre,20221108101744
Adeline CRETTENAND,VLR,Oui/Ja,F,28,Martigny,20221108101744
Narcisse CRETTENAND,VLR,Oui/Ja,H,67,Martigny,20221108101744
Blaise CRETTOL,AC,Non/Nein,H,50,Sierre,20221108101744
Cilette CRETTON,AC,Abst./Enth.,F,77,Martigny,20221108101744
Lucile CURDY,PS-GC,Non/Nein,F,23,Conthey,20221108101744
Alina DARBELLAY,LES VERTS,Non/Nein,F,55,Sion,20221108101744
Pierre DARBELLAY,Le Centre,Oui/Ja,H,34,Entremont,20221108101744
Olivier DERIVAZ,PS-GC,Non/Nein,H,58,Monthey,20221108101744
Eric DESSIMOZ,LES VERTS,Non/Nein,H,57,Conthey,20221108101744
Arnaud DUBOIS,VLR,Oui/Ja,H,37,Monthey,20221108101744
Corinne DUC BONVIN,PS-GC,Non/Nein,F,55,Sierre,20221108101744
Sophie DUCREY,AC,Non/Nein,F,27,Monthey,20221108101744
Marius DUMOULIN,Le Centre,Non/Nein,H,67,Sion,20221108101744
Jean-Marc DUPONT,PS-GC,Non/Nein,H,64,Martigny,20221108101744
Christian ESCHER,CSPO,Non/Nein,H,43,Brig,20221108101744
Florian EVEQUOZ,AC,Oui/Ja,H,41,Conthey,20221108101744
German EYER,ZUK-VS,Non/Nein,H,61,Brig,20221108101744
Natascha FARQUET,VLR,Oui/Ja,F,40,Martigny,20221108101744
Mélanie FOLLONIER,VLR,Oui/Ja,F,30,Hérens,20221108101744
Sandro FONTANA,Le Centre,Non/Nein,H,56,Monthey,20221108101744
Jérôme FORMAZ,UDC,Non/Nein,H,46,Entremont,20221108101744
Sabine FOURNIER,LES VERTS,Non/Nein,F,47,St-Maurice,20221108101744
Damien FUMEAUX,UDC,Non/Nein,H,24,Conthey,20221108101744
Sandro FUX,SVPO,Non/Nein,H,34,Brig,20221108101744
Claudia GAILLARD MOREND,LES VERTS,Non/Nein,F,56,Hérens,20221108101744
Géraldine GIANADDA,VLR,Oui/Ja,F,55,Martigny,20221108101744
Anne-Marie GRAND,Le Centre,Non/Nein,F,50,Conthey,20221108101744
Géraldine GRANGES GUENOT,UDC,Non/Nein,F,47,Martigny,20221108101744
Vincent GÜNTHER,LES VERTS,Non/Nein,H,53,Martigny,20221108101744
Ida HÄFLIGER,CSPO,Non/Nein,F,65,Visp,20221108101744
Christelle HERITIER,VLR,Non/Nein,F,37,Sion,20221108101744
Monika HOLZEGGER,ZUK-VS,Non/Nein,F,48,Brig,20221108101744
Lukas JÄGER,SVPO,Non/Nein,H,67,Leuk,20221108101744
Lukas KALBERMATTEN,Die Mitte Oberwallis,Non/Nein,H,51,Westlich Raron,20221108101744
Dominik KNUBEL,Die Mitte Oberwallis,Non/Nein,H,42,Westlich Raron,20221108101744
Michael KREUZER,SVPO,Non/Nein,H,33,Visp,20221108101744
Madeleine KUONEN-EGGO,ZUK-VS,Non/Nein,F,63,Leuk,20221108101744
Alain LÉGER,Le Centre,Oui/Ja,H,44,Martigny,20221108101744
Jean-François LOVEY,AC,Abst./Enth.,H,67,Entremont,20221108101744
Damien LUISIER,Le Centre,Non/Nein,H,29,Martigny,20221108101744
Vincent LUYET,AC,Non/Nein,H,45,Sion,20221108101744
Natacha MARET,Le Centre,Non/Nein,F,39,Entremont,20221108101744
Rainer MATHIER,Die Mitte Oberwallis,Non/Nein,H,65,Leuk,20221108101744
Thomas MATTER,CSPO,Non/Nein,H,56,Leuk,20221108101744
Kamy MAY,Le Centre,Non/Nein,F,28,Entremont,20221108101744
Nicolas METTAN,Le Centre,Non/Nein,H,61,St-Maurice,20221108101744
Fabienne MURMANN,Die Mitte Oberwallis,Non/Nein,F,41,Leuk,20221108101744
Jean-Daniel NANCHEN,LES VERTS,Non/Nein,H,65,Sierre,20221108101744
Claude NANÇOZ,VLR,Oui/Ja,H,70,Conthey,20221108101744
Edmond PERRUCHOUD,UDC,Oui/Ja,H,75,Sierre,20221108101744
Bernard PIGNAT,VLR,Oui/Ja,H,69,Monthey,20221108101744
Frédéric PITTELOUD,Le Centre,Non/Nein,H,47,Hérens,20221108101744
Géraldine POUGET-ZUFFEREY,Le Centre,Non/Nein,F,32,Sierre,20221108101744
François QUENNOZ,UDC,Non/Nein,H,29,Sion,20221108101744
Damien RABOUD,UDC,Non/Nein,H,36,Monthey,20221108101744
Pierre-Alain RAEMY,VLR,Oui/Ja,H,61,Sion,20221108101744
Célina RAMSAUER,AC,Abst./Enth.,F,45,Sierre,20221108101744
Kurt REGOTZ,CSPO,Non/Nein,H,69,Brig,20221108101744
Jean-Pierre REY,VLR,Oui/Ja,H,59,Sierre,20221108101744
Caroline REYNARD,PS-GC,Non/Nein,F,26,Sion,20221108101744
Janine REY-SIGGEN,PS-GC,Non/Nein,F,62,Sierre,20221108101744
